This file contains steel section data
Items are: A,Iy,Iz,Iyz,J,Wy,Wz,Aty,Atz,Yg,Zg,COMMENTS
The 'Comments' field can contain data to display in window (Use . to separate lines)
units are m (International System)
It is possible to add custom steel section in file 'steelsections-custom.csv'
NAME;A;Iy;Iz;Iyz;J;Wy;Wz;Aty;Atz;Yg;Zg;COMMENTS
2L-100-10;0.00384;3.54e-006;6.6e-006;0.0;1.267e-007;4.93036211699e-005;6.6e-005;0.002;0.002;0.1;0.0718;b=0.2m e=0.01m h=0.1m 
2L-100-8;0.0031;2.9e-006;5.23e-006;0.0;6.554e-008;3.99449035813e-005;5.23e-005;0.0016;0.0016;0.1;0.0726;b=0.2m e=0.008m h=0.1m 
2L-120-10;0.00464;6.26e-006;1.1345e-005;0.0;1.533e-007;7.20368239356e-005;9.45416666667e-005;0.0024;0.0024;0.12;0.0869;b=0.24m e=0.01m h=0.12m 
2L-120-12;0.0055;7.36e-006;1.372e-005;0.0;2.627e-007;8.55813953488e-005;0.000114333333333;0.00288;0.00288;0.12;0.086;b=0.24m e=0.012m h=0.12m 
2L-150-12;0.00695;1.474e-005;2.655e-005;0.0;3.318e-007;0.000135477941176;0.000177;0.0036;0.0036;0.15;0.1088;b=0.3m e=0.012m h=0.15m 
2L-150-15;0.0086;1.796e-005;3.349e-005;0.0;6.412e-007;0.000167069767442;0.000223266666667;0.0045;0.0045;0.15;0.1075;b=0.3m e=0.015m h=0.15m 
2L-180-15;0.0104;3.18e-005;5.764e-005;0.0;7.762e-007;0.000244239631336;0.000320222222222;0.0054;0.0054;0.18;0.1302;b=0.36m e=0.015m h=0.18m 
2L-200-16;0.01235;5.08e-005;8.846e-005;0.0;1.048e-006;0.000350828729282;0.0004423;0.0064;0.0064;0.2;0.1448;b=0.4m e=0.016m h=0.2m 
2L-200-18;0.0138;5.2e-005;9.534e-005;0.0;1.485e-006;0.000361111111111;0.0004767;0.0072;0.0072;0.2;0.144;b=0.4m e=0.018m h=0.2m 
2L-40-4;0.000615;8.94e-008;1.67e-007;0.0;3.243e-009;3.10416666667e-006;4.175e-006;0.00032;0.00032;0.04;0.0288;b=0.08m e=0.004m h=0.04m 
2L-40-5;0.00076;1.086e-007;2.11e-007;0.0;6.25e-009;3.82394366197e-006;5.275e-006;0.0004;0.0004;0.04;0.0284;b=0.08m e=0.005m h=0.04m 
2L-45-4;0.0007;1.286e-007;2.34e-007;0.0;3.669e-009;3.93272171254e-006;5.2e-006;0.00036;0.00036;0.045;0.0327;b=0.09m e=0.004m h=0.045m 
2L-45-5;0.00086;1.568e-007;2.975e-007;0.0;7.083e-009;4.86956521739e-006;6.61111111111e-006;0.00045;0.00045;0.045;0.0322;b=0.09m e=0.005m h=0.045m 
2L-45-6;0.00102;1.832e-007;3.605e-007;0.0;1.21e-008;5.76100628931e-006;8.01111111111e-006;0.00054;0.00054;0.045;0.0318;b=0.09m e=0.006m h=0.045m 
2L-50-4;0.00078;1.794e-007;3.235e-007;0.0;4.096e-009;4.92857142857e-006;6.47e-006;0.0004;0.0004;0.05;0.0364;b=0.1m e=0.004m h=0.05m 
2L-50-5;0.00096;2.2e-007;4.08e-007;0.0;7.917e-009;6.11111111111e-006;8.16e-006;0.0005;0.0005;0.05;0.036;b=0.1m e=0.005m h=0.05m 
2L-50-6;0.00114;2.56e-007;4.95e-007;0.0;1.354e-008;7.21126760563e-006;9.9e-006;0.0006;0.0006;0.05;0.0355;b=0.1m e=0.006m h=0.05m 
2L-60-5;0.001165;3.88e-007;7e-007;0.0;9.583e-009;8.89908256881e-006;1.16666666667e-005;0.0006;0.0006;0.06;0.0436;b=0.12m e=0.005m h=0.06m 
2L-60-6;0.00138;4.56e-007;8.5e-007;0.0;1.642e-008;1.05800464037e-005;1.41666666667e-005;0.00072;0.00072;0.06;0.0431;b=0.12m e=0.006m h=0.06m 
2L-60-8;0.001805;5.84e-007;1.15e-006;0.0;3.823e-008;1.38061465721e-005;1.91666666667e-005;0.00096;0.00096;0.06;0.0423;b=0.12m e=0.008m h=0.06m 
2L-70-6;0.001626;7.38e-007;1.345e-006;0.0;1.93e-008;1.45562130178e-005;1.92142857143e-005;0.00084;0.00084;0.07;0.0507;b=0.14m e=0.006m h=0.07m 
2L-70-7;0.00188;8.46e-007;1.58e-006;0.0;3.041e-008;1.68190854871e-005;2.25714285714e-005;0.00098;0.00098;0.07;0.0503;b=0.14m e=0.007m h=0.07m 
2L-70-8;0.00212;9.5e-007;1.805e-006;0.0;4.506e-008;1.90380761523e-005;2.57857142857e-005;0.00112;0.00112;0.07;0.0499;b=0.14m e=0.008m h=0.07m 
2L-80-10;0.00302;1.75e-006;3.405e-006;0.0;1e-007;3.09187279152e-005;4.25625e-005;0.0016;0.0016;0.08;0.0566;b=0.16m e=0.01m h=0.08m 
2L-80-8;0.00246;1.444e-006;2.7e-006;0.0;5.188e-008;2.51567944251e-005;3.375e-005;0.00128;0.00128;0.08;0.0574;b=0.16m e=0.008m h=0.08m 
2L-90-10;0.00342;2.54e-006;4.82e-006;0.0;1.133e-007;3.95638629283e-005;5.35555555556e-005;0.0018;0.0018;0.09;0.0642;b=0.18m e=0.01m h=0.09m 
2L-90-8;0.00278;2.08e-006;3.82e-006;0.0;5.871e-008;3.2e-005;4.24444444444e-005;0.00144;0.00144;0.09;0.065;b=0.18m e=0.008m h=0.09m 
2UPN-100;0.0027;4.12e-006;3.8e-006;0.0;5.6238e-006;8.24e-005;7.6e-005;0.0017;0.0012;0.05;0.05;b=0.1m e=0.006m e1=0.0085m h=0.1m 
2UPN-120;0.0034;7.28e-006;6.04e-006;0.0;9.5755e-006;0.000121333333333;0.000109818181818;0.00198;0.00168;0.055;0.06;b=0.11m e=0.007m e1=0.009m h=0.12m 
2UPN-140;0.00408;1.21e-005;8.62e-006;0.0;1.4448e-005;0.000172857142857;0.000143666666667;0.0024;0.00196;0.06;0.07;b=0.12m e=0.007m e1=0.01m h=0.14m 
2UPN-160;0.0048;1.85e-005;1.21e-005;0.0;2.1227e-005;0.00023125;0.000186153846154;0.00273;0.0024;0.065;0.08;b=0.13m e=0.0075m e1=0.0105m h=0.16m 
2UPN-180;0.0056;2.7e-005;1.67e-005;0.0;3.0047e-005;0.0003;0.000238571428571;0.00308;0.00288;0.07;0.09;b=0.14m e=0.008m e1=0.011m h=0.18m 
2UPN-200;0.00644;3.82e-005;2.24e-005;0.0;4.0496e-005;0.000382;0.000298666666667;0.00345;0.0034;0.075;0.1;b=0.15m e=0.0085m e1=0.0115m h=0.2m 
2UPN-220;0.00748;5.38e-005;2.96e-005;0.0;5.5882e-005;0.000489090909091;0.00037;0.004;0.00396;0.08;0.11;b=0.16m e=0.009m e1=0.0125m h=0.22m 
2UPN-240;0.00846;7.2e-005;3.82e-005;0.0;7.3254e-005;0.0006;0.000449411764706;0.00442;0.00456;0.085;0.12;b=0.17m e=0.0095m e1=0.013m h=0.24m 
2UPN-260;0.00966;9.64e-005;4.89e-005;0.0;9.5197e-005;0.000741538461538;0.000543333333333;0.00504;0.0052;0.09;0.13;b=0.18m e=0.01m e1=0.014m h=0.26m 
2UPN-280;0.0107;0.0001256;5.98e-005;0.0;0.0001182;0.000897142857143;0.000629473684211;0.0057;0.0056;0.095;0.14;b=0.19m e=0.01m e1=0.015m h=0.28m 
2UPN-300;0.0118;0.0001606;7.26e-005;0.0;0.00014459;0.00107066666667;0.000726;0.0064;0.006;0.1;0.15;b=0.2m e=0.01m e1=0.016m h=0.3m 
2UPN-80;0.0022;2.12e-006;2.43e-006;0.0;3.2513e-006;5.3e-005;5.4e-005;0.00144;0.00096;0.045;0.04;b=0.09m e=0.006m e1=0.008m h=0.08m 
C-10;0.0001;8.33333333333e-010;8.33333333333e-010;0.0;1.41e-009;1.66666666667e-007;1.66666666667e-007;0.0001;0.0001;;;b=0.01m h=0.01m 
C-12;0.000144;1.728e-009;1.728e-009;0.0;2.923776e-009;2.88e-007;2.88e-007;0.000144;0.000144;;;b=0.012m h=0.012m 
C-14;0.000196;3.20133333333e-009;3.20133333333e-009;0.0;5.416656e-009;4.57333333333e-007;4.57333333333e-007;0.000196;0.000196;;;b=0.014m h=0.014m 
C-16;0.000256;5.46133333333e-009;5.46133333333e-009;0.0;9.240576e-009;6.82666666666e-007;6.82666666666e-007;0.000256;0.000256;;;b=0.016m h=0.016m 
C-18;0.000324;8.748e-009;8.748e-009;0.0;1.4801616e-008;9.72e-007;9.72e-007;0.000324;0.000324;;;b=0.018m h=0.018m 
C-20;0.0004;1.33333333333e-008;1.33333333333e-008;0.0;2.256e-008;1.33333333333e-006;1.33333333333e-006;0.0004;0.0004;;;b=0.02m h=0.02m 
