type h b e=r e1 r1 h1 u A Sx Ix Wx ix Iy Wy iy It Ia w a e2 p
- mm mm mm mm mm mm mm cm2 cm3 cm4 cm3 cm cm4 cm3 cm cm4 cm6 mm mm mm kp/m
IPN 80 42 3.9 5.9 2.3 59 304 7.58 11.4 77.8 19.5 3.20 6.29 3.00 0.91 0.93 87.5 22 — 4.43 5.95
IPN 100 50 4.5 6.8 2.7 75 370 10.60 19.9 171.0 34.2 4.01 12.20 4.88 1.07 1.72 268.0 28 — 5.05 8.32
IPN 120 58 5.1 7.7 3.1 92 439 14.20 31.8 328.0 54.7 4.81 21.50 7.41 1.23 2.92 685.0 32 — 5.67 11.20
IPN 140 66 5.7 8.6 3.4 109 502 18.30 47.7 573.0 81.9 5.61 35.20 10.70 1.40 4.66 1.540.0 34 11 6.29 14.40
IPN 160 74 6.3 9.5 3.8 125 575 22.80 68.0 935.0 117.0 6.40 54.70 14.80 1.55 7.08 3.138.0 40 11 6.91 17.90
IPN 180 82 6.9 10.4 4.1 142 640 27.90 93.4 1.450.0 161.0 7.20 81.30 19.80 1.71 10.30 5.924.0 44 13 7.53 21.90
IPN 200 90 7.5 11.3 4.5 159 709 33.50 125.0 2.140.0 214.0 8.00 117.00 26.00 1.87 14.60 10.520.0 48 13 8.15 26.30
IPN 220 98 8.1 12.2 4.9 175 775 39.60 162.0 3.060.0 278.0 8.80 162.00 33.10 2.02 20.10 17.760.0 52 13 8.77 31.10
IPN 240 106 8.7 13.1 5.2 192 844 46.10 206.0 4.250.0 354.0 9.59 221.00 41.70 2.20 27.00 28.730.0 56 17 9.39 36.20
IPN 260 113 9.4 14.1 5.6 208 906 53.40 257.0 5.740.0 442.0 10.40 288.00 51.00 2.32 36.10 44.070.0 60 17 10.15 41.90
IPN 280 119 10.1 15.2 6.1 225 966 61.10 316.0 7.590.0 542.0 11.10 364.00 61.20 2.45 47.80 64.580.0 62 17 11.04 48.00
IPN 300 125 10.8 16.2 6.5 241 1.030 69.10 381.0 9.800.0 653.0 11.90 451.00 72.20 2.56 61.20 91.850.0 64 21 11.83 54.20
IPN 320 131 11.5 17.3 6.9 257 1.090 77.80 457.0 12.510.0 782.0 12.70 555.00 84.70 2.67 78.20 128.800.0 70 21 12.72 61.10
IPN 340 137 12.2 18.3 7.3 274 1.150 86.80 540.0 15.700.0 923.0 13.50 674.00 98.40 2.80 97.50 176.300.0 74 21 13.51 68.10
IPN 360 143 13.0 19.5 7.8 290 1.210 97.10 638.0 19.610.0 1.090.0 14.20 818.00 114.00 2.90 123.00 240.100.0 76 23 14.50 76.20
IPN 380 149 13.7 20.5 8.2 306 1.270 107.00 741.0 24.010.0 1.260.0 15.00 975.00 131.00 3.02 150.00 318.700.0 82 23 15.29 84.00
IPN 400 155 14.4 21.6 8.6 323 1.330 118.00 857.0 29.210.0 1.460.0 15.70 1.160.00 149.00 3.13 183.00 419.600.0 86 23 16.18 92.60
IPN 450 170 16.2 24.3 9.7 363 1.478 147.00 1.200.0 45.850.0 2.040.0 17.70 1.730.00 203.00 3.43 288.00 791.100.0 94 25 18.35 115.00
IPN 500 185 18.0 27.0 10.8 404 1.626 180.00 1.620.0 68.740.0 2.750.0 19.60 2.480.00 268.00 3.72 449.00 1.403.000.0 100 28 20.53 141.00
IPN 550 200 19.0 30.0 11.9 445 1.787 213.00 2.120.0 99.180.0 3.610.0 21.60 3.490.00 349.00 4.02 618.00 2.389.000.0 110 28 23.00 167.00
IPN 600 215 21.6 32.4 13.0 485 1.924 254.00 2.730.0 139.000.0 4.630.0 23.40 4.670.00 434.00 4.30 875.00 3.821.000.0 120 28 24.88 199.00

type h b e e1 r1 h1 u A Sx Ix Wx ix Iy Wy iy It Ia w a e2 p
- mm mm mm mm mm mm mm cm2 cm3 cm4 cm3 cm cm4 cm3 cm cm4 cm6 mm mm mm kp/m
IPE 80 46 3.8 5.2 5 60 328 7.64 11.6 80.1 20.0 3.24 8.49 3.69 1.05 0.721 118 — — 3.8 6.00
IPE 100 55 4.1 5.7 7 75 400 10.30 19.7 171.0 34.2 4.07 15.90 5.79 1.24 1.140 351 — — 4.1 8.10
IPE 120 64 4.4 6.3 7 93 475 13.20 30.4 318.0 53.0 4.90 27.70 8.65 1.45 1.770 890 35 — 4.4 10.40
IPE 140 73 4.7 6.9 7 112 551 16.40 44.2 541.0 77.3 5.74 44.90 12.30 1.65 2.630 1.981 40 11 4.7 12.90
IPE 160 82 5.0 7.4 9 127 623 20.10 61.9 869.0 109.0 6.58 68.30 16.70 1.84 3.640 3.959 44 13 5.0 15.80
IPE 180 91 5.3 8.0 9 146 698 23.90 83.2 1.320.0 146.0 7.42 101.00 22.20 2.05 5.060 7.431 48 13 5.3 18.80
IPE 200 100 5.6 8.5 12 159 788 28.50 110.0 1.940.0 194.0 8.26 142.00 28.50 2.24 6.670 12.990 52 13 5.6 22.40
IPE 220 110 5.9 9.2 12 178 848 33.40 143 2.770 252 9.11 205 37.3 2.48 9.15 22.670 58 17 5.9 26.20
IPE 240 120 6.2 9.8 15 190 922 39.10 183 3.890 324 9.97 284 47.3 2.69 12.00 37.390 65 17 6.2 30.70
IPE 270 135 6.6 10.2 15 220 1.040 45.90 242 5.790 429 11.20 420 62.2 3.02 15.40 70.580 72 21 6.6 36.10
IPE 300 150 7.1 10.7 15 249 1.160 53.80 314 8.360 557 12.50 604 80.5 3.35 20.10 125.900 80 23 7.1 42.20
IPE 330 160 7.5 11.5 18 271 1.250 62.60 402 11.770 713 13.70 788 98.5 3.55 26.50 199.100 85 25 7.5 49.10
IPE 360 170 8.0 12.7 18 299 1.350 72.70 510 16.270 904 15.00 1.040 123.0 3.79 37.30 313.600 90 25 8.0 57.10
IPE 400 180 8.6 13.5 21 331 1.470 84.50 654 23.130 1.160 16.50 1.320 146.0 3.95 48.30 490.000 95 28 8.6 66.30
IPE 450 190 9.4 14.6 21 379 1.610 98.80 851 33.740 1.500 18.50 1.680 176.0 4.12 65.90 791.000 100 28 9.4 77.60
IPE 500 200 10.2 16.0 21 426 1.740 116.00 1.100 48.200 1.930 20.40 2.140 214.0 4.31 91.80 1.249.000 110 28 10.2 90.70
IPE 550 210 11.1 17.2 24 468 1.880 134.00 1.390 67.120 2.440 22.30 2.670 254.0 4.45 122.00 1.884.000 115 28 11.1 106.00
