It is possible to add to this file steel section data
Items are: A,Iy,Iz,Iyz,J,Wy,Wz,Aty,Atz,Yg,Zg,COMMENTS
The 'Comments' field can contain data to display in window (Use . to separate lines)
Some values can be left void
units are m (International System)
If there exists images in directory '../images' with name 'profile_PREFIX.gif' 
and 'icon_PREFIX.gif', they will be used by the program
Check file 'steelsections.csv' for details
NAME;A;Iy;Iz;Iyz;J;Wy;Wz;Aty;Atz;Yg;Zg;COMMENTS
TUBE-40-2;0.000238761;4.32157e-008;4.32157e-008;0;8.64315e-008;2.16078e-006;2.16078e-006;0.000238761;0.000238761;;;Generated by RamSeries
R-40-40;0.0016;2.13333e-007;2.13333e-007;0;3.84e-007;1.06667e-005;1.06667e-005;0.0016;0.0016;;;Generated by RamSeries
TUBE-40-3;0.000348717;6.00665e-008;6.00665e-008;0;1.20133e-007;3.00333e-006;3.00333e-006;0.000348717;0.000348717;;;Generated by RamSeries
HP-60-7;5.0E-004;17.3E-008;1;0.0;0.0;6.7E-006;0.0;0.0;0.0;0.034;0.0;e=0.007m h=0.06m
HP-60-8;5.6E-004;19.2E-008;1;0.0;0.0;7.3E-006;0.0;0.0;0.0;0.034;0.0;e=0.008m h=0.06m
HP-80-6;6.2E-004;38.7E-008;1;0.0;0.0;12.0E-006;0.0;0.0;0.0;0.048;0.0;e=0.006m h=0.08m
HP-80-7;7.0E-004;43.4E-008;1;0.0;0.0;13.1E-006;0.0;0.0;0.0;0.047;0.0;e=0.007m h=0.08m
HP-80-8;7.8E-004;48.0E-008;1;0.0;0.0;14.2E-006;0.0;0.0;0.0;0.046;0.0;e=0.008m h=0.08m
HP-100-6;7.7E-004;76.1E-008;1;0.0;0.0;18.9E-006;0.0;0.0;0.0;0.06;0.0;e=0.006m h=0.1m
HP-100-7;8.7E-004;85.3E-008;1;0.0;0.0;20.6E-006;0.0;0.0;0.0;0.059;0.0;e=0.007m h=0.1m
HP-100-8;9.7E-004;94.3E-008;1;0.0;0.0;22.3E-006;0.0;0.0;0.0;0.058;0.0;e=0.008m h=0.1m
HP-120-6;9.7E-004;138.4E-008;1;0.0;0.0;29.8E-006;0.0;0.0;0.0;0.074;0.0;e=0.006m h=0.12m
HP-120-7;10.9E-004;154.7E-008;1;0.0;0.0;32.3E-006;0.0;0.0;0.0;0.072;0.0;e=0.007m h=0.12m
HP-120-8;12.1E-004;170.7E-008;1;0.0;0.0;34.7E-006;0.0;0.0;0.0;0.071;0.0;e=0.008m h=0.12m
HP-140-7;12.7E-004;247.7E-008;1;0.0;0.0;44.5E-006;0.0;0.0;0.0;0.084;0.0;e=0.007m h=0.14m
HP-140-8;14.1E-004;273.1E-008;1;0.0;0.0;47.8E-006;0.0;0.0;0.0;0.083;0.0;e=0.008m h=0.14m
HP-160-7;14.6E-004;373.1E-008;1;0.0;0.0;58.9E-006;0.0;0.0;0.0;0.097;0.0;e=0.007m h=0.16m
HP-160-8;16.2E-004;411.2E-008;1;0.0;0.0;63.3E-006;0.0;0.0;0.0;0.095;0.0;e=0.008m h=0.16m
HP-160-9;17.8E-004;448.6E-008;1;0.0;0.0;67.6E-006;0.0;0.0;0.0;0.094;0.0;e=0.009m h=0.16m
